,Volume,dfMLRPerDiff,WinReal,Strategy,Confidence
2022-01-26,-0.602,0.1776330647449027,False,Buy,0.8861386138613861
2022-01-27,-0.0028619785308837,0.1992068384175922,True,Buy,0.9108910891089109
2022-01-28,0.0208837966918945,0.1815228166779787,True,Buy,0.8861386138613861
2022-01-29,-0.602,0.149512301190211,False,Buy,0.8217821782178217
2022-01-30,0.0124788861274719,0.1752665720794024,True,Buy,0.8762376237623762
2022-01-31,-0.602,0.1514514352179077,True,Buy,0.8217821782178217
2022-02-01,0.0361494998931885,0.1110382629832666,False,Buy,0.7326732673267327
2022-02-02,0.0083565692901611,0.1765699381970427,True,Buy,0.8811881188118812
2022-02-03,0.0253555755615234,0.12592280351879,True,Buy,0.7623762376237624
2022-02-04,0.044397054195404,0.0466582694040031,False,Buy,0.6089108910891089
2022-02-05,0.0364428143501281,0.0580466512026045,True,Buy,0.504950495049505
2022-02-06,0.0172313432693481,0.0535493092293244,True,Buy,0.4603960396039604
2022-02-07,0.0089048128128051,0.0019566469223286,False,Buy,0.32673267326732675
2022-02-08,0.0036246757507324,0.0032792906688046,True,Buy,0.30198019801980197
2022-02-09,-0.602,-0.0188236854699606,False,Sell,0.5336322869955157
2022-02-10,-0.0003004093170165,0.0180025342871532,False,Buy,0.32673267326732675
2022-02-11,0.0420402865409851,0.0887494367799017,False,Buy,0.6534653465346535
2022-02-12,-0.602,0.0901702935893604,False,Buy,0.6584158415841584
2022-02-13,-0.602,0.0737053346046525,True,Buy,0.5891089108910891
2022-02-14,-0.602,0.0446276220819312,True,Buy,0.4207920792079208
2022-02-15,0.0214056949615478,-0.033930860249443,False,Buy,0.39603960396039606
2022-02-16,-0.0186831970214843,-0.0115104282979729,False,Sell,0.5874439461883408
2022-02-17,0.0562721471786499,0.0532992262998339,False,Buy,0.693069306930693
2022-02-18,0.0090802888870239,0.0694934446816348,True,Buy,0.5643564356435643
2022-02-19,-0.0594028849601745,0.0631692166701141,False,Buy,0.5198019801980198
2022-02-20,-0.602,0.1296789733053165,False,Buy,0.7673267326732673
2022-02-21,0.0425264220237732,0.2221860183811441,True,Buy,0.9405940594059405
2022-02-22,-0.0064858813285827,0.1789477695911598,False,Buy,0.8861386138613861
2022-02-23,-0.0213530678749084,0.2074842899726368,False,Buy,0.9306930693069307
2022-02-24,-0.016687693119049,0.2262217782647149,True,Buy,0.9455445544554455
2022-02-25,-0.0116394777297973,0.1681340682035914,False,Buy,0.8712871287128713
2022-02-26,-0.0355271716117858,0.1700957512754699,False,Buy,0.8712871287128713
2022-02-27,-0.0274043698310851,0.2052713843273321,True,Buy,0.9257425742574258
2022-02-28,0.0404053907394409,0.0689375658123547,True,Buy,0.5594059405940595
2022-03-01,0.0511327366828918,0.0695213004348602,False,Buy,0.6435643564356436
2022-03-02,-0.602,0.0836007113431434,False,Buy,0.6336633663366337
2022-03-03,0.0229272227287292,0.1175237863725056,False,Buy,0.7475247524752475
2022-03-04,-0.0342657585144042,0.1660416155118205,True,Buy,0.8514851485148515
2022-03-05,-0.602,0.1439739376072304,False,Buy,0.8118811881188119
2022-03-06,-0.0500226039886474,0.188539686151826,False,Buy,0.905940594059406
2022-03-07,-0.602,0.2110513158460283,True,Buy,0.9306930693069307
2022-03-08,-0.02705943775177,0.1618498462195938,True,Buy,0.8366336633663366
2022-03-09,-0.0080257077217101,0.097053016201545,False,Buy,0.693069306930693
2022-03-10,0.0267810206413269,0.1673663574948376,False,Buy,0.8613861386138614
2022-03-11,-0.602,0.1750324839972217,True,Buy,0.8712871287128713
2022-03-12,-0.602,0.1426105067127732,True,Buy,0.801980198019802
2022-03-13,-0.0243994016647338,0.1627171001529108,True,Buy,0.8465346534653465
2022-03-14,-0.0727245230674743,0.0917751151967327,False,Buy,0.6633663366336634
2022-03-15,-0.602,0.0940158512049591,True,Buy,0.6782178217821783
