,Volume,dfMLRPerDiff,WinReal,Strategy,Confidence
26/1/2022,-0.043122472,0.132611075,TRUE,Buy,0.89010989
27/1/2022,-0.023087325,0.051392677,TRUE,Buy,0.736263736
28/1/2022,0.017934797,0.074325764,TRUE,Buy,0.791208791
29/1/2022,0.01037812,0.047642921,FALSE,Buy,0.703296703
30/1/2022,-0.602,0.046530134,TRUE,Buy,0.692307692
31/1/2022,-0.06962985,0.023893375,TRUE,Buy,0.604395604
1/2/2022,-0.602,0.012270602,FALSE,Buy,0.527472527
2/2/2022,-0.602,0.122344533,TRUE,Buy,0.868131868
3/2/2022,-0.602,0.042153065,TRUE,Buy,0.67032967
4/2/2022,-0.602,-0.058258096,FALSE,Sell,0.536082474
5/2/2022,-0.602,-0.013981047,TRUE,Sell,0.18556701
6/2/2022,-0.602,-0.020109653,TRUE,Sell,0.226804124
7/2/2022,-0.602,-0.049732328,TRUE,Sell,0.463917526
8/2/2022,-0.602,-0.05384549,TRUE,Sell,0.494845361
9/2/2022,-0.602,-0.05757905,FALSE,Sell,0.525773196
10/2/2022,-0.058161857,-0.0406667,FALSE,Sell,0.865979381
11/2/2022,0.017757056,-0.078029977,FALSE,Buy,0.626373626
12/2/2022,-0.074099483,-0.040391587,FALSE,Sell,0.969072165
13/2/2022,-0.602,-0.056785922,TRUE,Sell,0.515463918
14/2/2022,0.005609391,-0.043356136,TRUE,Buy,0.505494505
15/2/2022,-0.047283353,-0.069164598,FALSE,Sell,0.762886598
16/2/2022,-0.015838148,-0.027692053,FALSE,Sell,0.237113402
17/2/2022,-0.014679195,-0.093592471,FALSE,Sell,0.804123711
18/2/2022,-0.009278121,-0.089800608,TRUE,Sell,0.793814433
19/2/2022,-0.043874206,-0.07739423,FALSE,Sell,0.711340206
20/2/2022,-0.602,-0.028169277,FALSE,Sell,0.24742268
21/2/2022,-0.602,0.004725412,TRUE,Buy,0.417582418
22/2/2022,-0.009493055,-0.025750315,FALSE,Sell,0.226804124
23/2/2022,-0.077321352,-0.002422634,TRUE,Sell,1
24/2/2022,-0.019632639,-0.02875509,TRUE,Sell,0.340206186
25/2/2022,-0.025917711,-0.043223623,FALSE,Sell,0.422680412
26/2/2022,-0.07633579,-0.038928071,FALSE,Sell,0.979381443
27/2/2022,-0.602,0.000917849,TRUE,Buy,0.384615385
28/2/2022,-0.025917711,-0.129539474,TRUE,Sell,0.979381443
1/3/2022,-0.602,-0.053721533,FALSE,Sell,0.484536082
2/3/2022,-0.602,-0.043103079,FALSE,Sell,0.412371134
3/3/2022,-0.602,-0.010791229,FALSE,Sell,0.154639175
4/3/2022,-0.602,0.090394266,TRUE,Buy,0.835164835
5/3/2022,-0.602,-0.034073737,FALSE,Sell,0.350515464
6/3/2022,-0.602,0.046667557,FALSE,Buy,0.703296703
7/3/2022,-0.602,-0.039041438,TRUE,Sell,0.402061856
8/3/2022,-0.602,-0.05257276,TRUE,Sell,0.484536082
9/3/2022,-0.602,-0.050122611,FALSE,Sell,0.474226804
10/3/2022,-0.018974485,0.020696912,FALSE,Buy,0.582417582
11/3/2022,0.00114697,0.003628432,TRUE,Buy,0.395604396
12/3/2022,-0.056368591,-0.041026486,FALSE,Sell,0.855670103
13/3/2022,-0.602,0.008258628,TRUE,Buy,0.472527473
14/3/2022,-0.02183068,-0.037496673,FALSE,Sell,0.371134021
15/3/2022,-0.013010802,0.010299085,TRUE,Buy,0.516483516
16/3/2022,-0.005426886,-0.034026738,FALSE,Sell,0.340206186
17/3/2022,-0.048992695,-0.016216945,TRUE,Sell,0.773195876
18/3/2022,-0.042647364,-0.057548976,TRUE,Sell,0.639175258
19/3/2022,0.028824924,-0.06044517,FALSE,Buy,0.714285714
20/3/2022,-0.602,-0.01540169,FALSE,Sell,0.18556701
21/3/2022,0.029647825,-0.052288962,TRUE,Buy,0.725274725
22/3/2022,-0.054930808,-0.103514171,TRUE,Sell,0.87628866
23/3/2022,-0.009100976,-0.083645705,TRUE,Sell,0.773195876
24/3/2022,0.019314645,-0.092507251,TRUE,Buy,0.626373626
25/3/2022,-0.080094518,-0.091386899,TRUE,Sell,1
26/3/2022,-0.016459229,-0.080546231,TRUE,Sell,0.773195876
27/3/2022,-0.602,-0.117986753,TRUE,Sell,0.958762887
28/3/2022,0.01573932,-0.114902882,TRUE,Buy,0.615384615
29/3/2022,-0.001325609,-0.110369537,FALSE,Sell,0.907216495
30/3/2022,-0.020775797,-0.095737979,FALSE,Sell,0.845360825
31/3/2022,0.055131612,-0.168102758,TRUE,Buy,0.846153846
1/4/2022,-0.602,-0.11655326,FALSE,Sell,0.93814433
2/4/2022,-0.602,-0.030954264,TRUE,Sell,0.268041237
3/4/2022,-0.602,-0.032993596,TRUE,Sell,0.329896907
4/4/2022,-0.602,-0.010611443,FALSE,Sell,0.144329897
5/4/2022,-0.602,-8.64E-06,FALSE,Sell,0.12371134
6/4/2022,-0.602,-0.079870215,TRUE,Sell,0.762886598
7/4/2022,-0.602,-0.077094355,FALSE,Sell,0.680412371
8/4/2022,-0.057296934,-0.03715099,TRUE,Sell,0.865979381
9/4/2022,-0.046481432,-0.032070333,FALSE,Sell,0.75257732
10/4/2022,-0.602,-0.019875171,FALSE,Sell,0.216494845
11/4/2022,-0.027627112,0.036585664,TRUE,Buy,0.648351648
12/4/2022,-0.003062071,0.01549126,TRUE,Buy,0.549450549
13/4/2022,-0.005556049,-0.012822837,FALSE,Sell,0.175257732
14/4/2022,-0.04122466,0.013097004,TRUE,Buy,0.527472527
15/4/2022,-0.001104953,-0.00226726,FALSE,Sell,0.134020619
16/4/2022,-0.06157005,-0.003828115,FALSE,Sell,0.87628866
17/4/2022,-0.064306976,0.00942931,TRUE,Buy,0.494505495
18/4/2022,0.036863623,-0.019138945,TRUE,Buy,0.769230769
19/4/2022,-0.042857947,0.089502197,FALSE,Buy,0.835164835
20/4/2022,-0.03462291,0.091720138,FALSE,Buy,0.846153846
21/4/2022,-0.045072796,-0.003933034,FALSE,Sell,0.670103093
22/4/2022,-0.018872978,-0.01178509,FALSE,Sell,0.309278351
23/4/2022,-0.006601455,-0.012773978,FALSE,Sell,0.164948454
24/4/2022,-0.602,0.06782856,TRUE,Buy,0.78021978
25/4/2022,-0.003945472,-0.047104676,FALSE,Sell,0.453608247
26/4/2022,-0.028124156,-0.011938302,TRUE,Sell,0.463917526
27/4/2022,0.045449613,-0.018757648,TRUE,Buy,0.802197802
28/4/2022,-0.001882615,-0.031800052,FALSE,Sell,0.298969072
29/4/2022,-0.052411558,0.03164147,FALSE,Buy,0.626373626
30/4/2022,-0.019910099,0.020520343,TRUE,Buy,0.571428571
1/5/2022,-0.602,-0.004944503,TRUE,Sell,0.144329897
2/5/2022,-0.054096224,-0.008868049,FALSE,Sell,0.793814433
3/5/2022,0.005332945,0.007874849,TRUE,Buy,0.483516484
4/5/2022,-0.602,-0.040875724,FALSE,Sell,0.402061856
5/5/2022,-0.061611952,0.067748691,FALSE,Buy,0.78021978
6/5/2022,-0.602,0.100201148,FALSE,Buy,0.857142857
7/5/2022,-0.602,0.100989022,FALSE,Buy,0.857142857
8/5/2022,-0.602,0.122573503,FALSE,Buy,0.879120879
9/5/2022,-0.032941641,0.225239022,TRUE,Buy,0.978021978
10/5/2022,-0.009693028,0.157595483,FALSE,Buy,0.945054945
11/5/2022,0.023923753,0.193200433,TRUE,Buy,0.967032967
12/5/2022,0.035606502,0.167898432,TRUE,Buy,0.945054945
13/5/2022,0.004248677,0.085184121,TRUE,Buy,0.824175824
14/5/2022,-0.602,0.006097173,TRUE,Buy,0.450549451
15/5/2022,-0.069175186,-0.030036859,FALSE,Sell,0.948453608
16/5/2022,-0.013605597,0.014856449,TRUE,Buy,0.538461538
17/5/2022,-0.025917711,-0.007131928,FALSE,Sell,0.422680412
18/5/2022,0.009520469,0.046516974,TRUE,Buy,0.681318681
19/5/2022,-0.041531386,-0.011031259,FALSE,Sell,0.628865979
20/5/2022,-0.037876429,0.041665681,TRUE,Buy,0.659340659
21/5/2022,0.001815973,0.287477228,TRUE,Buy,0.989010989
22/5/2022,-0.061636867,0.180216949,FALSE,Buy,0.967032967
23/5/2022,-0.010185363,0.154699244,TRUE,Buy,0.934065934
24/5/2022,-0.045902612,0.154195804,FALSE,Buy,0.934065934
25/5/2022,0.049913524,0.073307592,FALSE,Buy,0.824175824
26/5/2022,-0.035704793,0.204974056,FALSE,Buy,0.978021978
27/5/2022,-0.020124259,0.17148619,TRUE,Buy,0.956043956
28/5/2022,-0.051755907,0.109060597,TRUE,Buy,0.857142857
29/5/2022,-0.602,0.023407998,TRUE,Buy,0.582417582
30/5/2022,-0.051194849,-0.049746776,TRUE,Sell,0.773195876
31/5/2022,-0.005226793,-0.088107411,FALSE,Sell,0.773195876
1/6/2022,-0.089103224,-0.022770423,TRUE,Sell,1
2/6/2022,-0.015302839,-0.044549804,FALSE,Sell,0.443298969
3/6/2022,0.00454974,-0.02690024,TRUE,Buy,0.461538462
4/6/2022,-0.00878668,-0.024991483,TRUE,Sell,0.226804124
5/6/2022,-0.602,-0.026744604,TRUE,Sell,0.237113402
6/6/2022,-0.000632109,-0.077317616,FALSE,Sell,0.701030928
7/6/2022,-0.032816293,-0.061557193,FALSE,Sell,0.587628866
8/6/2022,-0.040583016,-0.030032661,FALSE,Sell,0.608247423
9/6/2022,-0.03193629,-0.026339028,FALSE,Sell,0.494845361
10/6/2022,-0.04532844,0.003085661,FALSE,Buy,0.395604396
11/6/2022,0.018325446,0.029637273,FALSE,Buy,0.626373626
12/6/2022,-0.602,0.080599452,FALSE,Buy,0.813186813
13/6/2022,-0.009341182,0.195679747,FALSE,Buy,0.978021978
14/6/2022,-0.054968895,0.125133998,TRUE,Buy,0.879120879
15/6/2022,-0.016651752,0.061959677,FALSE,Buy,0.769230769
16/6/2022,-0.006521227,0.137789422,TRUE,Buy,0.901098901
17/6/2022,0.020970402,0.101473362,FALSE,Buy,0.857142857
18/6/2022,-0.602,0.150821971,TRUE,Buy,0.923076923
19/6/2022,-0.046405913,0.052147857,TRUE,Buy,0.747252747
20/6/2022,0.028366206,0.041532915,TRUE,Buy,0.703296703
21/6/2022,-0.034395637,0.029806946,FALSE,Buy,0.626373626
22/6/2022,-0.005703749,0.059414572,TRUE,Buy,0.758241758
23/6/2022,-0.004436972,-3.96E-05,TRUE,Sell,0.144329897
24/6/2022,-0.007617833,0.146818714,TRUE,Buy,0.912087912
25/6/2022,-0.019454481,-0.030779503,FALSE,Sell,0.329896907
26/6/2022,0.049967287,0.57838414,FALSE,Buy,1
27/6/2022,0.009768723,0.272207961,FALSE,Buy,0.989010989
28/6/2022,-0.022525134,0.206981039,FALSE,Buy,0.978021978
29/6/2022,-0.018302085,0.437388834,FALSE,Buy,1
30/6/2022,-0.044585766,0.351220941,FALSE,Buy,1
1/7/2022,-0.05517024,0.034276162,FALSE,Buy,0.637362637
2/7/2022,-0.008276405,0.017296987,TRUE,Buy,0.56043956
